Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
m1F,PME_A51_1_3+012_m1F,3+002,3+102,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm113.F,OUI,Mm113.F1
M1G,PME_A51_1_3+507_M1G,3+507,4+007,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.G,OUI,MM113.G1
M1H,PME_A51_1_4+096_M1H,4+096,4+596,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.H,OUI,MM113.H1
M1I,PME_A51_1_4+593_M1I,4+593,5+093,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.I,OUI,MM113.I1
M1J,PME_A51_1_4+950_M1J,4+950,5+450,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.J,OUI,MM113.J1
M1L,PME_A51_1_6+140_M1L,6+140,6+640,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.L,OUI,MM113.L1
M1M,PME_A51_1_6+950_M1M,6+950,7+450,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.M,OUI,MM113.M1
M1O,PME_A51_1_7+961_M1O,7+961,8+461,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.O,OUI,MM113.O1
M1Q,PME_A51_1_8+849_M1Q,8+849,9+349,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.Q,OUI,MM113.Q1
M1S,PME_A51_1_9+817_M1S,9+817,10+317,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.S,OUI,MM113.S1
M1T,PME_A51_1_10+405_M1T,10+405,10+905,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.T,OUI,MM113.T1
M1Y,PME_A51_1_12+886_M1Y,12+886,13+386,1,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.Y,OUI,MM113.Y1
M1a,PME_A51_2_0+430_M1a,0+430,0+730,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.a,OUI,MM113.a2
M1b,PME_A51_2_1+009_M1b,1+009,1+509,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.b,OUI,MM113.b2
M1c,PME_A51_2_1+508_M1c,1+508,1+808,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.c,OUI,MM113.c2
M1d,PME_A51_2_2+030_M1d,2+030,2+330,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.d,OUI,MM113.d2
M1e,PME_A51_2_2+462_M1e,2+462,2+712,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.e,OUI,MM113.e2
mbe,PME_A51_2_2+462_mbe,2+812,2+962,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.e,NON,Mmb13.e2
M1f,PME_A51_2_3+002_M1f,3+002,3+252,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.f,OUI,MM113.f2
mbf,PME_A51_2_3+002_mbf,3+352,3+502,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.f,NON,Mmb13.f2
m1f,PME_A51_2_3+012_m1f,3+500,3+507,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm113.f,OUI,Mm113.f2
M1g,PME_A51_2_3+507_M1g,3+507,3+757,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.g,OUI,MM113.g2
mbg,PME_A51_2_3+507_mbg,3+857,4+007,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,NON,Mmb13.g,NON,Mmb13.g2
m1g,PME_A51_2_3+517_m1g,4+007,4+017,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm113.g,OUI,Mm113.g2
M1h,PME_A51_2_4+096_M1h,4+396,4+596,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.h,OUI,MM113.h2
M1i,PME_A51_2_4+593_M1i,4+893,5+093,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.i,OUI,MM113.i2
M1j,PME_A51_2_5+275_M1j,5+275,5+775,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.j,OUI,MM113.j2
M1l,PME_A51_2_6+140_M1l,6+140,6+640,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.l,OUI,MM113.l2
M1m,PME_A51_2_6+950_M1m,6+950,7+450,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.m,OUI,MM113.m2
M1o,PME_A51_2_7+961_M1o,7+961,8+461,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.o,OUI,MM113.o2
M1q,PME_A51_2_8+849_M1q,8+849,9+349,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.q,OUI,MM113.q2
M1s,PME_A51_2_9+817_M1s,9+817,10+317,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.s,OUI,MM113.s2
M1t,PME_A51_2_10+405_M1t,10+405,10+905,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.t,OUI,MM113.t2
M1y,PME_A51_2_12+886_M1y,12+886,13+386,2,A51,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM113.y,OUI,MM113.y2
M6C,PME_A55_1_16+474_M6C,16+474,16+974,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM613.C,OUI,MM613.C1
M6c,PME_A55_2_16+474_M6c,16+474,16+974,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM613.c,OUI,MM613.c2
M5E,PME_A55_1_1+442_M5E,1+442,2+392,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.E,OUI,MM513.E1
M5F,PME_A55_1_2+400_M5F,2+400,2+900,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.F,OUI,MM513.F1
M5H,PME_A55_1_3+481_M5H,3+481,3+981,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.H,OUI,MM513.H1
M5J,PME_A55_1_4+305_M5J,4+305,4+805,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.J,OUI,MM513.J1
M5K,PME_A55_1_4+796_M5K,4+796,5+296,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.K,OUI,MM513.K1
M5L,PME_A55_1_5+248_M5L,5+248,5+748,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.L,OUI,MM513.L1
M5M,PME_A55_1_5+660_M5M,5+660,6+160,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.M,OUI,MM513.M1
M5N,PME_A55_1_6+393_M5N,6+393,6+893,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.N,OUI,MM513.N1
M5O,PME_A55_1_7+279_M5O,7+279,7+779,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.O,OUI,MM513.O1
M5S,PME_A55_1_9+400_M5S,9+400,9+900,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.S,OUI,MM513.S1
M5X,PME_A55_1_12+666_M5X,12+666,13+166,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.X,OUI,MM513.X1
M5Y,PME_A55_1_13+416_M5Y,13+416,13+916,1,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.Y,OUI,MM513.Y1
m5Y,PME_A55_1_13+426_m5Y,0+000,0+500,1,A551,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm513.Y,OUI,Mm513.Y1
M5e,PME_A55_2_1+892_M5e,1+650,2+392,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.e,OUI,MM513.e2
m5e,PME_A55_2_1+902_m5e,0+500,1+000,2,A557,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm513.e,OUI,Mm513.e2
M5f,PME_A55_2_2+400_M5f,2+400,2+900,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.f,OUI,MM513.f2
