Code PTF Voie,Code PTF Station,N° de voie
A55_2_M5l_VLE,M5l,3
A55_2_M5l_VRA,M5l,5
A55_1_M5L_VLE,M5l,0
A55_1_M5L_VRA,M5l,2
A55_1_M5L_VMD,M5l,1
A50_2_M3r_VLE,M3r,3
A50_2_M3r_VMD,M3r,4
A50_1_M3R_VLE,M3r,0
A50_2_M3r_VRA,M3r,5
A50_1_M3R_VRA,M3r,2
A50_1_M3R_VMD,M3r,1
A50_2_M3v_VLE,M3v,0
A50_2_M3v_VRA,M3v,2
A50_2_M3v_VMD,M3v,1
A50_1_M3E_VMD,M3e,1
A50_1_M3E_VLE,M3e,0
A50_1_M3E_VRA,M3e,2
A50_2_M3e_VMD,M3e,4
A50_2_M3e_VLE,M3e,3
A50_2_M3e_VRA,M3e,5
A50_2_M3n_VLE,M3n,0
A50_2_M3n_VRA,M3n,2
A50_2_M3n_VMD,M3n,1
RN113_1_MPA_VRA,MPA,1
RN113_1_MPA_VLE,MPA,0
RN113_2_MPA_VRA,MPA,3
RN113_2_MPA_VLE,MPA,2
A50_1_M4F_VRA,M4f,1
A50_1_M4F_VLE,M4f,0
A50_2_M4f_VRA,M4f,3
A50_2_M4f_VLE,M4f,2
A50_1_M3Q_VMD,M3q,1
A50_1_M3Q_VLE,M3q,0
A50_1_M3Q_VRA,M3q,2
A50_2_M3q_VLE,M3q,3
A50_2_M3q_VRA,M3q,5
A50_2_M3q_VMD,M3q,4
A51_1_M1D_VLE,M1D,0
A51_1_M1D_VRA,M1D,2
A51_1_M1D_VMD,M1D,1
A7_1_M8G_VRA,M8G,2
A7_1_M8G_VLE,M8G,0
A7_1_M8G_VMD,M8G,1
A51_2_M1m_VLE,M1m,2
A51_1_M1M_VLE,M1m,0
A51_2_M1m_VRA,M1m,3
A51_1_M1M_VRA,M1m,1
RN568_2_MPB_VRA,MPB,3
RN568_1_MPB_VLE,MPB,0
RN568_2_MPB_VLE,MPB,2
RN568_1_MPB_VRA,MPB,1
A50_2_M3p_VLE,M3p,3
A50_2_M3p_VRA,M3p,5
A50_2_M3p_VMD,M3p,4
A50_1_M3P_VMD,M3p,1
A50_1_M3P_VLE,M3p,0
A50_1_M3P_VRA,M3p,2
A7_1_M8E_VMD,M8E,1
A7_1_M8E_VLE,M8E,0
A7_1_M8E_VRA,M8E,2
